row_index,PC1,PC2,PC3,PC4,PC5,PC6
0,-4.937171432158458,1.6931759924707683,1.19022061803744,0.21464600192464628,-0.11141015882048619,-0.0150621222271415
1,-4.464144397025315,1.028099113699916,0.6171242308726854,0.3556732780319245,-0.09842499245596936,0.0011960192174339638
2,-4.2280933480579055,0.7371277595297885,0.31020704962925677,0.42272471910789805,-0.09939214990182664,-0.005902799310876659
3,-2.4985601653704768,-1.8338047387750303,-0.9917760894915305,0.8318773724029018,-0.1234447702951372,0.037257145863414595
4,-4.298746394239677,0.8209430191189475,0.4210256871896891,0.39359001312715275,-0.09610739945291238,-0.007173760364568011
5,-4.232640490106939,0.7480015701759289,0.3025544973359867,0.4211916376493498,-0.09760172059447005,-0.006971648456056325
6,-3.530389337176344,0.14976125141661978,-0.0056300191010313135,0.12142437845194477,0.05727729794801973,-0.004095570328333029
7,-3.7321352860684285,0.5847024313722734,0.05685668521378929,0.04283264431515225,0.06463305821095772,-0.0007855637089510606
8,-4.104138782158156,1.0549880098468252,0.6691132810395969,-0.12146537026325556,0.07541871282118615,0.0030412956837124823
9,-3.583186021411086,0.4200431583268776,-0.1646777475115313,0.09150225218657329,0.06200344538033137,-0.0017619269850892925
10,-3.617366359265455,0.4063614453656958,-0.07957054070893704,0.09045136751955582,0.06132021413403335,-0.00220662769707861
11,-4.033208784247466,0.9791010021831268,0.5538387767353441,-0.0961404206778877,0.07396937718261064,0.0025479451467056735
12,-3.6077803148176923,0.4486566303558736,-0.09858458638094549,0.07369795887093294,0.06315666910358567,-0.0014517393494761382
13,-3.666519309299604,0.5095094571379943,-0.060534668481520164,0.07156665251931431,0.06289237992986392,-0.0013483012464472833
14,-3.9619670794474713,0.8935248784141534,0.4437275829207868,-0.0687525452665356,0.07228596307641066,0.001914185674997114
15,-2.670523692364381,-0.01689183551708145,-0.5038523615416689,-0.04229425569277008,0.05042847298519008,0.0010157903149549611
16,-2.689497088546295,0.07839908253016523,-0.4680689213163026,-0.06778532500701923,0.049738558011200085,0.0019155001765190384
17,-2.8005038954122328,0.26347579082613676,-0.33263868499193555,-0.11386468322810084,0.05162294259993534,0.0034096580085142465
18,-2.692840723594709,0.09474714443108183,-0.38692073632048923,-0.08977526160750499,0.04964615956216217,0.0021471348303792126
19,-2.594136125705888,-0.07346624747202374,-0.44506751933767696,-0.06260713340144547,0.04797432332443929,0.0008903205901491744
20,-2.376313556051943,-0.4309808201074045,-0.5426538384330007,-0.01282206565154964,0.04403083371599872,-0.0015400669826317217
