device_id,epoch,progress_01,pc1_scaled,cluster_global,HI_inv,RUL_line
DV_device4_features_pca_scores,0,0.0,0.23718452070794604,29,0.762815479292054,1.0
DV_device4_features_pca_scores,1,0.00980392156862745,0.0758694858409178,4,0.9241305141590822,0.9901960784313726
DV_device4_features_pca_scores,2,0.0196078431372549,0.0,23,1.0,0.9803921568627451
DV_device4_features_pca_scores,3,0.029411764705882353,0.10068905333155853,4,0.8993109466684415,0.9705882352941176
DV_device4_features_pca_scores,4,0.0392156862745098,0.08709857314183089,4,0.9129014268581691,0.9607843137254902
DV_device4_features_pca_scores,5,0.049019607843137254,0.10981180473283803,4,0.890188195267162,0.9509803921568627
DV_device4_features_pca_scores,6,0.058823529411764705,0.15947280007324532,11,0.8405271999267547,0.9411764705882353
DV_device4_features_pca_scores,7,0.06862745098039216,0.1767304609086352,11,0.8232695390913648,0.9313725490196079
DV_device4_features_pca_scores,8,0.0784313725490196,0.18525383336263612,11,0.8147461666373639,0.9215686274509804
DV_device4_features_pca_scores,9,0.08823529411764706,0.14830893673350476,4,0.8516910632664952,0.9117647058823529
DV_device4_features_pca_scores,10,0.09803921568627451,0.11162056486815786,6,0.8883794351318421,0.9019607843137255
DV_device4_features_pca_scores,11,0.10784313725490197,0.13751991815835107,6,0.8624800818416489,0.892156862745098
DV_device4_features_pca_scores,12,0.11764705882352941,0.14511078667836164,6,0.8548892133216384,0.8823529411764706
DV_device4_features_pca_scores,13,0.12745098039215685,0.13384317312008248,6,0.8661568268799176,0.8725490196078431
DV_device4_features_pca_scores,14,0.13725490196078433,0.13481244924512886,6,0.8651875507548712,0.8627450980392157
DV_device4_features_pca_scores,15,0.14705882352941177,0.13306039284471555,6,0.8669396071552844,0.8529411764705882
DV_device4_features_pca_scores,16,0.1568627450980392,0.12840022816081953,6,0.8715997718391805,0.8431372549019608
DV_device4_features_pca_scores,17,0.16666666666666666,0.19672738666752537,28,0.8032726133324746,0.8333333333333334
DV_device4_features_pca_scores,18,0.17647058823529413,0.27061993959013897,16,0.729380060409861,0.8235294117647058
DV_device4_features_pca_scores,19,0.18627450980392157,0.3067422272466858,16,0.6932577727533142,0.8137254901960784
DV_device4_features_pca_scores,20,0.19607843137254902,0.3226843726967163,16,0.6773156273032837,0.803921568627451
DV_device4_features_pca_scores,21,0.20588235294117646,0.17437374454572274,14,0.8256262554542773,0.7941176470588236
DV_device4_features_pca_scores,22,0.21568627450980393,0.23303595455429676,22,0.7669640454457032,0.7843137254901961
DV_device4_features_pca_scores,23,0.22549019607843138,0.26662956022771445,22,0.7333704397722856,0.7745098039215687
DV_device4_features_pca_scores,24,0.23529411764705882,0.27031222566548085,22,0.7296877743345191,0.7647058823529411
DV_device4_features_pca_scores,25,0.24509803921568626,0.4107421021316897,24,0.5892578978683103,0.7549019607843137
DV_device4_features_pca_scores,26,0.2549019607843137,0.5030169106766774,26,0.4969830893233226,0.7450980392156863
DV_device4_features_pca_scores,27,0.2647058823529412,0.49881062437432644,26,0.5011893756256736,0.7352941176470589
DV_device4_features_pca_scores,28,0.27450980392156865,0.4822149272218637,2,0.5177850727781363,0.7254901960784313
DV_device4_features_pca_scores,29,0.28431372549019607,0.44780963944895336,24,0.5521903605510466,0.7156862745098039
DV_device4_features_pca_scores,30,0.29411764705882354,0.3648812797806686,14,0.6351187202193314,0.7058823529411764
DV_device4_features_pca_scores,31,0.30392156862745096,0.5036140885616419,26,0.4963859114383581,0.696078431372549
DV_device4_features_pca_scores,32,0.3137254901960784,0.5325395281547431,26,0.46746047184525685,0.6862745098039216
DV_device4_features_pca_scores,33,0.3235294117647059,0.6086172249059949,19,0.3913827750940051,0.6764705882352942
DV_device4_features_pca_scores,34,0.3333333333333333,0.6240859868677556,19,0.3759140131322444,0.6666666666666667
DV_device4_features_pca_scores,35,0.3431372549019608,0.6208542747573488,19,0.3791457252426512,0.6568627450980392
DV_device4_features_pca_scores,36,0.35294117647058826,0.6053928838113801,19,0.3946071161886199,0.6470588235294117
DV_device4_features_pca_scores,37,0.3627450980392157,0.5889515488097837,10,0.41104845119021627,0.6372549019607843
DV_device4_features_pca_scores,38,0.37254901960784315,0.565873956111385,10,0.434126043888615,0.6274509803921569
DV_device4_features_pca_scores,39,0.38235294117647056,0.6667071569807869,21,0.33329284301921314,0.6176470588235294
DV_device4_features_pca_scores,40,0.39215686274509803,0.6337053618465829,19,0.3662946381534171,0.607843137254902
DV_device4_features_pca_scores,41,0.4019607843137255,0.5461039969697365,10,0.45389600303026345,0.5980392156862745
DV_device4_features_pca_scores,42,0.4117647058823529,0.688390851858395,21,0.311609148141605,0.5882352941176471
DV_device4_features_pca_scores,43,0.4215686274509804,0.6726797622562285,21,0.3273202377437715,0.5784313725490196
DV_device4_features_pca_scores,44,0.43137254901960786,0.6254750579883548,19,0.3745249420116452,0.5686274509803921
DV_device4_features_pca_scores,45,0.4411764705882353,0.6923267228122125,21,0.3076732771877875,0.5588235294117647
DV_device4_features_pca_scores,46,0.45098039215686275,0.687488607104441,21,0.31251139289555896,0.5490196078431373
DV_device4_features_pca_scores,47,0.46078431372549017,0.6372998870442749,19,0.36270011295572513,0.5392156862745099
DV_device4_features_pca_scores,48,0.47058823529411764,0.7102970556640046,21,0.2897029443359954,0.5294117647058824
DV_device4_features_pca_scores,49,0.4803921568627451,0.7008745039178672,21,0.2991254960821328,0.5196078431372548
DV_device4_features_pca_scores,50,0.49019607843137253,0.6748002046638505,21,0.3251997953361495,0.5098039215686274
