device_id,epoch,progress_01,pc1_scaled,pc2_scaled,cluster_global,k
DV_device3_features_pca_scores,0,0.0,0.0,0.4063049614784079,1,2
DV_device3_features_pca_scores,1,0.010638297872340425,0.024178481364907634,0.4998631284369229,1,2
DV_device3_features_pca_scores,2,0.02127659574468085,0.037500536287330855,0.5467502355463936,1,2
DV_device3_features_pca_scores,3,0.031914893617021274,0.034862036518549355,0.5368989437587679,1,2
DV_device3_features_pca_scores,4,0.0425531914893617,0.03154413434316439,0.5245136848850918,1,2
DV_device3_features_pca_scores,5,0.05319148936170213,0.02457109247340583,0.5008299453586275,1,2
DV_device3_features_pca_scores,6,0.06382978723404255,0.03700488300604354,0.5436547437233195,1,2
DV_device3_features_pca_scores,7,0.07446808510638298,0.04088257232681758,0.5555765459945307,1,2
DV_device3_features_pca_scores,8,0.0851063829787234,0.05040482305108551,0.5868349097304602,1,2
DV_device3_features_pca_scores,9,0.09574468085106383,0.05533897820486766,0.6026847584597423,1,2
DV_device3_features_pca_scores,10,0.10638297872340426,0.05713510375811859,0.6078491670787933,1,2
DV_device3_features_pca_scores,11,0.11702127659574468,0.12551001012590618,0.22097789263975384,1,2
DV_device3_features_pca_scores,12,0.1276595744680851,0.11445857543725546,0.17370331252895535,1,2
DV_device3_features_pca_scores,13,0.13829787234042554,0.29600367630237673,0.9999999999999999,1,2
DV_device3_features_pca_scores,14,0.14893617021276595,0.13050116044946602,0.25580634532379964,1,2
DV_device3_features_pca_scores,15,0.1595744680851064,0.14653907211308193,0.3346346404001713,1,2
DV_device3_features_pca_scores,16,0.1702127659574468,0.17318552700695572,0.4094256597077326,1,2
DV_device3_features_pca_scores,17,0.18085106382978725,0.18522867155561384,0.4414903908162226,1,2
DV_device3_features_pca_scores,18,0.19148936170212766,0.19070926797502197,0.4593165461462599,1,2
DV_device3_features_pca_scores,19,0.20212765957446807,0.23756233609913102,0.17456959838271724,1,2
DV_device3_features_pca_scores,20,0.2127659574468085,0.2456582310701359,0.16416902950666817,1,2
DV_device3_features_pca_scores,21,0.22340425531914893,0.23342423651934652,0.10879357717085775,1,2
DV_device3_features_pca_scores,22,0.23404255319148937,0.23496887921314213,0.125292965426192,1,2
DV_device3_features_pca_scores,23,0.24468085106382978,0.2678874452095291,0.23274493901318058,1,2
DV_device3_features_pca_scores,24,0.2553191489361702,0.3610925339676977,0.07158529215323223,1,2
DV_device3_features_pca_scores,25,0.26595744680851063,0.404977793306852,0.22901339238184912,1,2
DV_device3_features_pca_scores,26,0.2765957446808511,0.40244149970991416,0.21951354408021484,1,2
DV_device3_features_pca_scores,27,0.2872340425531915,0.39269151044304756,0.18376822891279918,1,2
DV_device3_features_pca_scores,28,0.2978723404255319,0.4956270596296858,0.10711127403773196,1,2
DV_device3_features_pca_scores,29,0.30851063829787234,0.555241420377006,0.1927241373226628,1,2
DV_device3_features_pca_scores,30,0.3191489361702128,0.5484072230901674,0.17159999492031777,1,2
DV_device3_features_pca_scores,31,0.32978723404255317,0.5398971649606823,0.13667568833710625,1,2
DV_device3_features_pca_scores,32,0.3404255319148936,0.5318009232208095,0.10961351348712384,1,2
DV_device3_features_pca_scores,33,0.35106382978723405,0.5700517589175325,0.24808588651557048,1,2
DV_device3_features_pca_scores,34,0.3617021276595745,0.5550751446298884,0.1944880345141331,1,2
DV_device3_features_pca_scores,35,0.3723404255319149,0.5002460106594245,0.023675256614320794,1,2
DV_device3_features_pca_scores,36,0.3829787234042553,0.570574865804958,0.24868917128990684,1,2
DV_device3_features_pca_scores,37,0.39361702127659576,0.5644775823947764,0.23429492865729667,1,2
DV_device3_features_pca_scores,38,0.40425531914893614,0.6665064658370687,0.0,0,2
DV_device3_features_pca_scores,39,0.4148936170212766,0.7302862564502179,0.21941820236504156,0,2
DV_device3_features_pca_scores,40,0.425531914893617,0.7289338996519773,0.2142682980952588,0,2
DV_device3_features_pca_scores,41,0.43617021276595747,0.7314080425274776,0.21948041206443025,0,2
DV_device3_features_pca_scores,42,0.44680851063829785,0.724926035517088,0.19631464451889793,0,2
DV_device3_features_pca_scores,43,0.4574468085106383,0.7395002577873645,0.2997504719344087,0,2
DV_device3_features_pca_scores,44,0.46808510638297873,0.7549814629572431,0.32239694887590353,0,2
DV_device3_features_pca_scores,45,0.4787234042553192,0.7535862434679111,0.31447132404709544,0,2
DV_device3_features_pca_scores,46,0.48936170212765956,0.7400707437897637,0.25178848445745744,0,2
DV_device3_features_pca_scores,47,0.5,0.7353681503539395,0.23320817030219682,0,2
DV_device3_features_pca_scores,48,0.5106382978723404,0.7567761353577112,0.3146903471497049,0,2
DV_device3_features_pca_scores,49,0.5212765957446809,0.7538085509092891,0.30246742595744813,0,2
DV_device3_features_pca_scores,50,0.5319148936170213,0.74824172489794,0.27792973675618027,0,2
DV_device3_features_pca_scores,51,0.5425531914893617,0.7309914277617043,0.21322226672748165,0,2
DV_device3_features_pca_scores,52,0.5531914893617021,0.8107727570018491,0.4967526944747879,0,2
DV_device3_features_pca_scores,53,0.5638297872340425,0.8129049852583643,0.5061326101385282,0,2
DV_device3_features_pca_scores,54,0.574468085106383,0.7930580421492656,0.4236521153433107,0,2
DV_device3_features_pca_scores,55,0.5851063829787234,0.7855172867278685,0.39060657654973474,0,2
DV_device3_features_pca_scores,56,0.5957446808510638,0.8209868495315489,0.5235099381009305,0,2
DV_device3_features_pca_scores,57,0.6063829787234043,0.8222755146428675,0.5249243332641873,0,2
DV_device3_features_pca_scores,58,0.6170212765957447,0.818265250102744,0.513783075104802,0,2
