M,STD,RMS,Ku,Sk,CF,PtP,En,Ent
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.45387763949107e-06
0.03577074633707517,0.048480906299035446,0.0602490213122772,1.7881778957508327,0.31408610462940506,3.1120834283459526,0.312499968,453.74307113590396,-13492.230392800151
0.05295474457743359,0.06647970637580494,0.08499268399735634,1.5400279573263322,0.34204507948874574,2.5737506725497004,0.37499996160000004,902.969541634309,-16093.782329455533
0.05223474465116159,0.06682327656164143,0.08481638308254881,1.6169983997102408,0.3138973766120504,2.5791005186710017,0.4062499584,899.2273549007091,-16083.958352998938
0.04973524490711039,0.06629283479301981,0.08287541572061564,1.6411083198709826,0.30868756877100956,2.6395038347371442,0.4062499584,858.5418163581083,-15900.563853614232
0.045911245298687994,0.06169905616223119,0.07690654052931037,1.6710175524929112,0.3269324036344574,2.844361169992177,0.4062499584,739.3269970233073,-15293.56460057859
0.46941245193215997,0.03626613708944339,0.4708113026769353,49.82062659928962,-4.178444850280491,1.4602451676308918,0.7187499264000001,27707.910341044095,-44157.975149052625
0.516813697078272,0.05902429508212143,0.5201733027536624,65.66519358418896,5.28136192020778,2.7034256632466116,1.0624998912,33822.53311220666,-42271.991977120866
0.54003744470016,0.08025592127457234,0.5459683640815727,20.063977942084332,2.283388848376494,2.6329361687799633,1.093749888,37260.18182223859,-40897.87921379867
0.9835833992810499,0.04220687192762713,0.9844885592931895,143.52573370995424,9.296128976684722,1.8093148983659524,0.937499904,121152.21542239746,-1933.4097959426779
0.989100398716109,0.04321238123877084,0.9900438922758373,130.5945171835947,8.667658440909177,1.7991624729944031,0.9687499008,122523.36357908623,-1248.368284843973
0.9870131489298433,0.04417622932372343,0.9880012628522632,140.07794348449025,9.150215012831376,1.8345116373307964,0.9687499008,122018.31192470835,-1501.9493568810408
0.9857888990552063,0.04121665629430768,0.986650174203886,144.19714562650105,9.30542899929406,1.7736781146489433,0.9062499072000001,121684.82078206983,-1666.6957433274629
1.4480458517200896,0.06099000837996917,1.4493296967239542,16.78563557131223,1.465371838045301,1.466194881125614,0.8124999168000002,262569.57122574357,67168.93860870798
1.4987738465255422,0.03469437710180486,1.4991753542636206,70.39464953967166,5.3700858082366745,1.3549114092778887,0.6562499328000002,280940.84285393154,75857.73939739402
1.492358597182464,0.03179269025940893,1.492697208993955,100.21543574240505,7.005176971929394,1.360791579002829,0.6874999296000002,278518.11971729284,74725.176874365
1.481622598281831,0.03132919834471423,1.4819537922649022,84.30881689495902,6.095065662715373,1.3706566308626917,0.6562499328000002,274523.3803010406,72850.08557836358
